,player_team_name,player_name,player_position,foot,technique,keeper_name,keeper_team_name,competition_name,competition_stage,stadium,direction
0,9,107,9,1,1,17,38,3,3,5,8
1,9,107,3,1,1,132,80,3,3,5,5
2,9,104,22,0,1,102,72,3,3,5,9
3,79,31,10,1,1,90,11,3,3,5,4
4,9,104,22,0,1,101,95,3,3,5,2
5,9,104,22,0,1,75,75,3,3,5,8
6,9,104,22,0,1,75,75,3,3,5,8
7,9,104,0,0,1,126,70,3,3,5,8
8,9,107,3,1,1,42,26,3,3,5,7
9,10,14,22,0,1,106,17,0,0,2,8
10,10,141,16,1,1,106,17,0,0,2,7
11,20,93,0,0,1,88,12,0,0,2,2
12,10,119,3,1,1,106,17,0,0,2,8
13,20,33,8,1,1,88,12,0,0,2,9
14,10,112,5,1,1,106,17,0,0,2,5
15,20,59,11,1,1,88,12,0,0,2,1
16,10,74,13,0,1,106,17,0,0,2,7
17,20,16,7,0,1,88,12,0,0,2,7
18,10,17,11,1,1,106,17,0,0,2,6
19,20,35,3,1,1,88,12,0,0,2,5
20,13,0,11,1,1,88,12,0,0,73,8
21,63,29,13,1,1,128,8,0,0,32,7
22,6,12,9,0,1,82,73,0,0,62,9
23,63,105,22,1,1,67,8,0,0,62,8
24,6,12,9,0,1,82,73,0,0,62,2
25,63,115,7,0,1,67,8,0,0,62,7
26,6,61,20,1,1,82,73,0,0,62,9
27,63,62,13,0,1,67,8,0,0,62,8
28,6,156,21,0,1,82,73,0,0,62,5
29,63,159,8,1,1,67,8,0,0,62,8
30,6,91,16,1,1,82,73,0,0,62,5
31,63,29,3,1,1,67,8,0,0,62,7
32,61,102,22,1,1,97,99,1,3,1,3
33,48,138,22,1,1,124,15,1,3,0,5
34,4,100,20,1,1,20,18,1,3,68,4
35,12,13,1,1,1,124,15,1,3,66,7
36,21,94,12,1,1,10,13,1,3,58,7
37,82,44,10,0,1,91,14,1,3,75,8
38,81,76,9,1,1,83,34,1,3,35,5
39,4,32,19,1,1,10,13,1,3,41,8
40,48,138,3,1,1,9,51,1,3,46,3
41,46,27,12,1,1,104,5,1,3,46,4
42,32,70,0,0,1,53,13,1,3,35,1
43,16,106,0,1,1,37,53,1,3,66,0
44,46,27,3,1,1,97,99,1,3,7,4
45,48,138,18,1,1,91,14,1,3,0,4
46,4,100,19,1,1,50,71,1,3,1,8
47,16,106,0,1,1,97,99,1,3,66,6
48,21,55,18,1,1,124,15,1,3,68,5
49,61,52,11,1,1,11,98,1,3,40,8
50,4,100,10,1,1,97,99,1,3,41,4
51,21,55,0,1,1,9,51,1,3,46,8
52,61,52,0,1,1,37,53,1,3,1,6
