player_team_name,player_name,player_position,foot,technique,keeper_name,keeper_team_name,competition_name,competition_stage,stadium,direction
Barcelona,Luis Alberto Suárez Díaz,Left Center Forward,Right Foot,Normal,Axel Werner,Huesca,La Liga,Regular Season,Camp Nou,RL
Barcelona,Luis Alberto Suárez Díaz,Center Forward,Right Foot,Normal,Tomáš Vaclík,Sevilla,La Liga,Regular Season,Camp Nou,LL
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Pau López Sabata,Real Betis,La Liga,Regular Season,Camp Nou,
Valencia,Daniel Parejo Muñoz,Left Center Midfield,Right Foot,Normal,Marc-André ter Stegen,Barcelona,La Liga,Regular Season,Camp Nou,LH
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Norberto Murara Neto,Valencia,La Liga,Regular Season,Camp Nou,CL
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Jordi Masip López,Real Valladolid,La Liga,Regular Season,Camp Nou,RL
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Jordi Masip López,Real Valladolid,La Liga,Regular Season,Camp Nou,RL
Barcelona,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,Left Foot,Normal,Stole Dimitrievski,Rayo Vallecano,La Liga,Regular Season,Camp Nou,RL
Barcelona,Luis Alberto Suárez Díaz,Center Forward,Right Foot,Normal,Fernando Pacheco Flores,Deportivo Alavés,La Liga,Regular Season,Camp Nou,RH
Bayern Munich,Arjen Robben,Right Wing,Left Foot,Normal,Petr ?ech,Chelsea,Champions League,Final,Allianz Arena,RL
Bayern Munich,Philipp Lahm,Right Back,Right Foot,Normal,Petr ?ech,Chelsea,Champions League,Final,Allianz Arena,RH
Chelsea,Juan Manuel Mata García,Center Attacking Midfield,Left Foot,Normal,Manuel Neuer,Bayern Munich,Champions League,Final,Allianz Arena,CL
Bayern Munich,Mario Gómez García,Center Forward,Right Foot,Normal,Petr ?ech,Chelsea,Champions League,Final,Allianz Arena,RL
Chelsea,David Luiz Moreira Marinho,Left Center Back,Right Foot,Normal,Manuel Neuer,Bayern Munich,Champions League,Final,Allianz Arena,
Bayern Munich,Manuel Neuer,Goalkeeper,Right Foot,Normal,Petr ?ech,Chelsea,Champions League,Final,Allianz Arena,LL
Chelsea,Frank Lampard,Left Defensive Midfield,Right Foot,Normal,Manuel Neuer,Bayern Munich,Champions League,Final,Allianz Arena,CH
Bayern Munich,Ivica Oli?,Left Wing,Left Foot,Normal,Petr ?ech,Chelsea,Champions League,Final,Allianz Arena,RH
Chelsea,Ashley Cole,Left Back,Left Foot,Normal,Manuel Neuer,Bayern Munich,Champions League,Final,Allianz Arena,RH
Bayern Munich,Bastian Schweinsteiger,Left Defensive Midfield,Right Foot,Normal,Petr ?ech,Chelsea,Champions League,Final,Allianz Arena,RC
Chelsea,Didier Yves Drogba Tébily,Center Forward,Right Foot,Normal,Manuel Neuer,Bayern Munich,Champions League,Final,Allianz Arena,LL
Borussia Dortmund,?lkay Gündo?an,Left Defensive Midfield,Right Foot,Normal,Manuel Neuer,Bayern Munich,Champions League,Final,Wembley Stadium,RL
Real Madrid,Cristiano Ronaldo dos Santos Aveiro,Left Wing,Right Foot,Normal,Thibaut Courtois,Atlético Madrid,Champions League,Final,Estádio do Sport Lisboa e Benfica,RH
Atlético Madrid,Antoine Griezmann,Left Center Forward,Left Foot,Normal,Keylor Navas Gamboa,Real Madrid,Champions League,Final,Stadio Giuseppe Meazza,
Real Madrid,Lucas Vázquez Iglesias,Right Wing,Right Foot,Normal,Jan Oblak,Atlético Madrid,Champions League,Final,Stadio Giuseppe Meazza,RL
Atlético Madrid,Antoine Griezmann,Left Center Forward,Left Foot,Normal,Keylor Navas Gamboa,Real Madrid,Champions League,Final,Stadio Giuseppe Meazza,CL
Real Madrid,Marcelo Vieira da Silva Júnior,Left Back,Left Foot,Normal,Jan Oblak,Atlético Madrid,Champions League,Final,Stadio Giuseppe Meazza,RH
Atlético Madrid,Gabriel Fernández Arenas,Right Defensive Midfield,Right Foot,Normal,Keylor Navas Gamboa,Real Madrid,Champions League,Final,Stadio Giuseppe Meazza,
Real Madrid,Gareth Frank Bale,Left Wing,Left Foot,Normal,Jan Oblak,Atlético Madrid,Champions League,Final,Stadio Giuseppe Meazza,RL
Atlético Madrid,Saúl Ñíguez Esclapez,Right Midfield,Left Foot,Normal,Keylor Navas Gamboa,Real Madrid,Champions League,Final,Stadio Giuseppe Meazza,LL
Real Madrid,Sergio Ramos García,Left Center Back,Right Foot,Normal,Jan Oblak,Atlético Madrid,Champions League,Final,Stadio Giuseppe Meazza,RL
Atlético Madrid,Juan Francisco Torres Belén,Right Back,Right Foot,Normal,Keylor Navas Gamboa,Real Madrid,Champions League,Final,Stadio Giuseppe Meazza,LL
Real Madrid,Cristiano Ronaldo dos Santos Aveiro,Center Forward,Right Foot,Normal,Jan Oblak,Atlético Madrid,Champions League,Final,Stadio Giuseppe Meazza,RH
Reading WFC,Lauren Bruton,Right Wing,Right Foot,Normal,Megan Walsh,Yeovil Town LFC,FA Women's Super League,Regular Season,Adams Park,LC
Manchester City WFC,Nikita Parris,Right Wing,Right Foot,Normal,Sophie Baggaley,Bristol City WFC,FA Women's Super League,Regular Season,Academy Stadium,LL
Arsenal WFC,Kim Little,Right Defensive Midfield,Right Foot,Normal,Carly Mitchell Telford,Chelsea FCW,FA Women's Super League,Regular Season,The Cherry Red Records Stadium,LH
Birmingham City WFC,Aoife Mannion,Center Back,Right Foot,Normal,Sophie Baggaley,Bristol City WFC,FA Women's Super League,Regular Season,Stoke Gifford Stadium,RH
Chelsea FCW,Karen Julia Carney,Left Midfield,Right Foot,Normal,Ann-Katrin Berger,Birmingham City WFC,FA Women's Super League,Regular Season,SportNation.bet Stadium,RH
Yeovil Town LFC,Ellie Mason,Left Center Midfield,Left Foot,Normal,Marie Hourihan,Brighton & Hove Albion WFC,FA Women's Super League,Regular Season,,RL
West Ham United LFC,Jane Ross,Left Center Forward,Right Foot,Normal,Kirstie Levell,Everton LFC,FA Women's Super League,Regular Season,Haig Avenue,LL
Arsenal WFC,Danielle van de Donk,Right Center Midfield,Right Foot,Normal,Ann-Katrin Berger,Birmingham City WFC,FA Women's Super League,Regular Season,Meadow Park,RL
Manchester City WFC,Nikita Parris,Center Forward,Right Foot,Normal,Anke Preuß,Liverpool WFC,FA Women's Super League,Regular Season,Prenton Park,LC
Liverpool WFC,Courtney Sweetman-Kirk,Left Midfield,Right Foot,Normal,Pauline Peyraud Magnin,Arsenal WFC,FA Women's Super League,Regular Season,Prenton Park,LH
Everton LFC,Inessa Kaagman,Center Attacking Midfield,Left Foot,Normal,Hannah Hampton,Birmingham City WFC,FA Women's Super League,Regular Season,Haig Avenue,CH
Bristol City WFC,Lucy Graham,Center Attacking Midfield,Right Foot,Normal,Ellie Roebuck,Manchester City WFC,FA Women's Super League,Regular Season,Stoke Gifford Stadium,CC
Liverpool WFC,Courtney Sweetman-Kirk,Center Forward,Right Foot,Normal,Megan Walsh,Yeovil Town LFC,FA Women's Super League,Regular Season,Clayson Stadium,LH
