index,period,minute,second,possession,duration,statsbomb_xg,penalty_taken_at_home,home_score,away_score,match_week,player_team_name,player_name,player_position,foot,technique,keeper_name,keeper_team_name,competition_name,competition_stage,stadium,direction,outcome
0,2,92,5,149,0.4784,0.76,1,8,2,3,9,107,9,1,1,17,38,3,3,5,8,1
1,2,62,21,158,0.769673,0.76,1,4,2,9,9,107,3,1,1,132,80,3,3,5,5,1
2,2,67,17,155,0.707958,0.76,1,3,4,12,9,104,22,0,1,102,72,3,3,5,9,1
3,1,31,51,59,0.522165,0.76,0,2,2,22,79,31,10,1,1,90,11,3,3,5,4,1
4,1,38,43,70,0.321987,0.76,1,2,2,22,9,104,22,0,1,101,95,3,3,5,2,1
5,1,42,43,93,0.39022,0.76,1,1,0,24,9,104,22,0,1,75,75,3,3,5,8,1
6,2,84,47,173,0.327656,0.76,1,1,0,24,9,104,22,0,1,75,75,3,3,5,8,0
7,2,50,36,92,0.7574,0.76,1,3,1,27,9,104,0,0,1,126,70,3,3,5,8,1
8,2,59,50,110,0.6836,0.76,0,0,2,34,9,107,3,1,1,42,26,3,3,5,7,1
9,3,94,45,211,0.558867,0.76,1,1,1,7,10,14,22,0,1,106,17,0,0,2,8,0
10,5,120,11,257,0.361227,0.76,1,1,1,7,10,141,16,1,1,106,17,0,0,2,7,1
11,5,120,56,258,0.8347,0.76,0,1,1,7,20,93,0,0,1,88,12,0,0,2,2,0
12,5,121,33,259,0.4503,0.76,1,1,1,7,10,119,3,1,1,106,17,0,0,2,8,1
13,5,122,14,260,0.5316,0.76,0,1,1,7,20,33,8,1,1,88,12,0,0,2,9,1
14,5,123,3,261,0.3819,0.76,1,1,1,7,10,112,5,1,1,106,17,0,0,2,5,1
15,5,123,48,262,0.6003,0.76,0,1,1,7,20,59,11,1,1,88,12,0,0,2,1,1
16,5,124,28,263,0.3716,0.76,1,1,1,7,10,74,13,0,1,106,17,0,0,2,7,0
17,5,125,18,264,1.163917,0.76,0,1,1,7,20,16,7,0,1,88,12,0,0,2,7,1
18,5,126,4,265,0.4602,0.76,1,1,1,7,10,17,11,1,1,106,17,0,0,2,6,0
19,5,127,6,266,0.5793,0.76,0,1,1,7,20,35,3,1,1,88,12,0,0,2,5,1
20,2,67,34,159,0.3157,0.76,1,1,2,7,13,0,11,1,1,88,12,0,0,73,8,1
21,4,119,53,272,0.8556,0.76,1,4,1,7,63,29,13,1,1,128,8,0,0,32,7,1
22,2,47,8,112,0.5279,0.76,0,1,1,7,6,12,9,0,1,82,73,0,0,62,9,0
